ConstituentID;Name;ArtistBio;Nationality;Gender;Born;Died
23350;AB Gustavsberg, Sweden;;Swedish;;0;0
23881;Viola Gråsten;Swedish, born Finland. 1910–1994;Swedish;female;1910;1994
24452;Sigurd Lewerentz;Swedish;Swedish;male;0;0
24770;Miriam Bäckström;Swedish, born 1967;Swedish;female;1967;0
26807;Odelberg & Olson AB;Swedish, established 1884;Swedish;;1884;0
26871;Lars Tunbjörk;Swedish, 1956–2015;Swedish;male;1956;2015
27049;Ruben Rausing;Swedish, 1895–1983;Swedish;male;1895;1983
27050;Erik Wallenberg;Swedish, 1915–1999;Swedish;male;1915;1999
28078;NOAQ Flood Protection AB;Sweden, est. 2001;Swedish;;2001;0
29177;Sture Johannesson;Swedish, born 1935;Swedish;male;1935;0
29234;Sigurd Melin;Swedish, born 1952;Swedish;male;1952;0
29235;Anders Mohss;Swedish, born 1958;Swedish;;1958;0
29566;OFFECCT;Sweden, est. 1990;Swedish;;1990;0
30445;Anders Petersen;Swedish, born 1944;Swedish;male;1944;0
30965;Reed Kram;Swedish, born 1971;Swedish;male;1971;0
31375;Johanna Billing;Swedish, born 1973;Swedish;female;1973;0
32031;Mamma Andersson;Swedish, born 1962;Swedish;female;1962;0
35986;Klara Liden;Swedish, born 1979;Swedish;female;1979;0
36939;Bengt af Klintberg;Swedish, born 1938;Swedish;male;1938;0
37554;Sophie Tottie;Swedish, born 1964;Swedish;female;1964;0
39923;Hans Ehrich;Swedish, born 1942;Swedish;male;1942;0
39924;Tom Ahlström;Swedish, born 1943;Swedish;male;1943;0
39925;A&E Design;Swedish, est. 1968;Swedish;;1968;0
39996;Karl Holmqvist;Swedish, born 1964;Swedish;;1964;0
40658;Emily Sundblad;Swedish, born 1977;Swedish;female;1977;0
41191;Jens S Jensen;Swedish, 1946–2015;Swedish;male;1946;2015
42454;Nathalie Djurberg;Swedish, born 1978;Swedish;female;1978;0
42749;Annee Olofsson;Swedish, born 1966;Swedish;female;1966;0
43688;"Markus Notch Persson";Swedish, born 1979;Swedish;male;1979;0
48037;Frederik Ljungström;Swedish, 1875–1964;Swedish;male;1875;1964
48422;Sven-Åke Johansson;Swedish, born 1943;Swedish;;1943;0
48852;A B Norna Hemslojd;;Swedish;;0;0
49237;Better Shelter, Sweden;Swedish, est. 2010;Swedish;;2010;0
49568;GOLDIN+SENNEBY;Swedish, est. 2004;Swedish;;2004;0
69820;Henning Lundkvist;Swedish, born 1981;Swedish;;1981;0
71905;Hilma af Klint;Swedish, 1862–1944;Swedish;female;1862;1944
75256;Hans Berg;Swedish, born 1978;Swedish;male;1978;0
131905;Arne Arnbom;Swedish, 1922–1975;Swedish;male;1922;1975
137031;Lou Laurin Lam;Swede, 1934–2012;Swedish;female;1934;2012
138111;Ulla Wiggen;Swedish, born 1942;Swedish;female;1942;0



